JJ	CD	0.021827000808407437
,	-NONE-	0.03131749460043196
-RRB-	NN	0.125
RP	``	0.016666666666666666
RBS	JJ	0.8333333333333334
,	RBS	0.0010799136069114472
VBN	-NONE-	0.6176470588235294
DT	NN	0.44014510278113667
VBP	RB	0.112
IN	NNPS	0.002008032128514056
PRP	PRP	0.00273224043715847
NN	POS	0.021704814522494082
<s>	JJR	0.00875
VBN	VBG	0.012254901960784314
NNP	JJR	0.0004997501249375312
WRB	NN	0.14285714285714285
,	IN	0.06803455723542116
NN	``	0.0027624309392265192
''	VBD	0.039603960396039604
VBZ	VBN	0.15938864628820962
``	JJ	0.10126582278481013
RB	JJ	0.09042553191489362
VBD	WRB	0.0029717682020802376
VBD	.	0.005943536404160475
CD	POS	0.001834862385321101
NN	JJR	0.001973164956590371
VBN	$	0.0024509803921568627
CC	VBN	0.02288329519450801
FW	NN	0.5
``	CC	0.006329113924050633
DT	TO	0.0006045949214026602
PRP$	JJ	0.23121387283236994
-NONE-	,	0.043410852713178294
:	RB	0.02586206896551724
VBZ	RBR	0.004366812227074236
-NONE-	NN	0.017829457364341085
VBD	,	0.0029717682020802376
VBD	CC	0.0029717682020802376
VBG	CC	0.017921146953405017
NN	JJ	0.006708760852407261
-LRB-	VBN	0.07142857142857142
-LRB-	VBG	0.07142857142857142
VBN	,	0.004901960784313725
,	VBP	0.0064794816414686825
VBP	VBG	0.092
JJ	TO	0.007275666936135812
RP	IN	0.16666666666666666
VBD	-NONE-	0.2600297176820208
IN	WDT	0.0025100401606425703
RP	NNS	0.03333333333333333
``	DT	0.17721518987341772
VBN	NN	0.04656862745098039
CD	-NONE-	0.2
VBZ	VBZ	0.002183406113537118
VB	CC	0.004405286343612335
:	CD	0.04310344827586207
RP	.	0.03333333333333333
WDT	NNS	0.015151515151515152
''	WRB	0.0049504950495049506
<s>	VBG	0.00375
:	PRP	0.02586206896551724
,	WDT	0.020518358531317494
VBZ	$	0.002183406113537118
,	$	0.004319654427645789
POS	VBN	0.005494505494505495
JJ	NNPS	0.0016168148746968471
NNS	VBP	0.0810359231411863
CD	VBG	0.005504587155963303
RB	.	0.04609929078014184
''	IN	0.07920792079207921
POS	WP	0.005494505494505495
IN	RBR	0.001004016064257028
RP	,	0.08333333333333333
VB	,	0.00881057268722467
NN	PRP	0.0027624309392265192
VBZ	PRP	0.021834061135371178
PRP$	-LRB-	0.005780346820809248
-NONE-	DT	0.04806201550387597
WRB	PRP	0.2571428571428571
VBD	JJ	0.06092124814264487
RBR	VB	0.025
TO	-NONE-	0.009876543209876543
:	RBR	0.008620689655172414
VB	DT	0.24008810572687225
TO	VBN	0.0024691358024691358
''	</s>	0.23267326732673269
-NONE-	.	0.09922480620155039
JJR	.	0.01694915254237288
JJS	IN	0.21951219512195122
-RRB-	VBD	0.0625
VBN	VBN	0.02696078431372549
VB	PRP$	0.048458149779735685
IN	JJ	0.08835341365461848
